count_point_id,year,region_name,local_authority_name,road_name,road_type,latitude,longitude,all_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,all_hgvs
8470,2010,London,Croydon,A212,Major,51.36860691,-0.09644029,9743,8307,169,995,141,25,9,191
27913,2014,London,Barking and Dagenham,A1112,Major,51.55025779,0.16202525,10888,9173,97,1052,275,50,29,433
17915,2016,London,City of London,A1211,Major,51.51752124,-0.09176574,7828,5548,179,1197,279,20,26,328
46922,2003,London,Hounslow,A312,Major,51.44133192,-0.38992172,15009,12292,325,1617,379,20,25,492
942283,2013,London,Bromley,U,Minor,51.40387822,-0.06416459,398,348,0,34,2,3,0,4
57668,2017,London,Kensington and Chelsea,A3220,Major,51.48699038,-0.19098619,25465,18084,564,4261,842,132,220,1329
17169,2001,London,Camden,A501,Major,51.52655097,-0.13319548,34248,25335,938,4112,1494,75,57,1848
37708,2023,London,Hammersmith and Fulham,A3218,Major,51.485797,-0.20118775,7800,5309,343,1547,37,18,64,125
7607,2003,London,Kensington and Chelsea,A3218,Major,51.49051847,-0.18652511,6356,4778,116,914,107,10,5,125
75426,2014,London,Tower Hamlets,A1261,Major,51.51265309,0.00070015,44303,31352,372,7207,2130,153,1390,3931
74692,2005,London,Brent,A4088,Major,51.56105959,-0.25441263,5853,4452,176,1027,91,17,38,168
27660,2005,London,Lambeth,A3204,Major,51.4869569,-0.11464781,13628,10434,151,2224,374,39,40,500
38594,2013,London,Ealing,A3005,Major,51.49231154,-0.36990402,9343,8275,106,712,176,11,4,198
36826,2011,London,Bromley,A222,Major,51.40671524,-0.03095946,7623,6262,247,989,56,9,5,70
18339,2020,London,Lambeth,A203,Major,51.466016,-0.11551109,6229,4077,586,956,149,16,11,186
942903,2018,London,Kingston upon Thames,U,Minor,51.379653,-0.29283552,203,178,0,23,0,1,0,1
942265,2017,London,Bromley,B251,Minor,51.37750928,0.01698841,6407,5315,111,862,53,8,8,76
17638,2002,London,Westminster,A4201,Major,51.51318535,-0.14094796,11575,6692,1453,1332,240,27,5,279
942784,2008,London,Lewisham,U,Minor,51.4275497,0.00310854,39,31,0,7,1,0,0,1
57117,2022,London,Barnet,A407,Major,51.558092,-0.21269072,7349,4760,473,1333,149,18,20,200
75347,2004,London,Kingston upon Thames,A3,Major,51.41423243,-0.24965694,1618,1422,3,131,23,0,0,23
37540,2021,London,Enfield,A1005,Major,51.684339,-0.15998466,6068,4660,57,1022,153,13,116,306
17641,2020,London,Westminster,A501,Major,51.520316,-0.16559424,4949,3638,246,777,55,13,10,94
36943,2022,London,Hounslow,A312,Major,51.462715,-0.41508151,13497,9917,323,2241,487,27,36,762
27734,2020,London,Kensington and Chelsea,A4204,Major,51.505018,-0.19387466,8555,6023,615,1487,105,18,7,132
942964,2012,London,Tower Hamlets,C,Minor,51.51489575,-0.01963894,2979,2253,115,352,119,9,3,132
6640,2023,London,Enfield,A110,Major,51.64873,-0.05022415,12855,9873,415,1622,295,29,51,548
27579,2003,London,Islington,A1200,Major,51.5417219,-0.09796409,11636,9005,120,1704,219,24,13,271
38267,2011,London,Hackney,A1202,Major,51.52550735,-0.08243628,17487,14303,167,1843,316,47,25,425
18526,2023,London,Barking and Dagenham,A13,Major,51.52944,0.08895034,58392,38078,314,13556,2533,180,1344,5379
26181,2011,London,Haringey,A10,Major,51.58759195,-0.07093083,918,0,918,0,0,0,0,0
99902,2022,London,Barking and Dagenham,A13,Major,51.532356,0.11792093,43083,30523,231,7269,1607,247,1051,4421
930377,2004,London,Wandsworth,U,Minor,51.46347558,-0.17651223,5115,4136,259,382,118,7,0,131
6094,2005,London,Southwark,A2,Major,51.49761428,-0.08971587,4958,2680,143,1384,121,21,17,171
942595,2013,London,Ealing,B454,Minor,51.49770223,-0.34389481,7195,6299,41,637,65,5,16,87
16746,2016,London,Greenwich,A206,Major,51.49366726,0.05850188,12999,9452,451,2156,271,61,202,713
37121,2002,London,Barnet,A411,Major,51.65290542,-0.20896351,8740,7325,326,870,113,9,8,136
37109,2003,London,Brent,A404,Major,51.55168528,-0.30814006,9586,8183,377,784,122,12,7,153
71007,2020,London,Barking and Dagenham,A1083,Major,51.561476,0.13370163,5905,4758,251,755,53,9,3,72
942682,2011,London,Hillingdon,C,Minor,51.52437538,-0.44184387,924,841,13,40,16,0,0,16
46199,2007,London,Redbridge,A104,Major,51.61428675,0.02486857,12900,10543,270,1366,372,32,16,440
7717,2000,London,Camden,A5201,Major,51.52202484,-0.10887534,8632,5578,238,1494,188,9,1,205
953170,2008,London,Camden,U,Minor,51.54557415,-0.19962446,1061,849,5,162,14,2,1,17
79997,2017,London,Harrow,A4005,Major,51.58217717,-0.3338542,5384,4464,114,385,164,0,126,307
37120,2019,London,Harrow,A410,Major,51.610597,-0.34061286,11829,10032,208,1337,81,7,13,153
58164,2019,London,Kensington and Chelsea,A4,Major,51.496537,-0.1699923,23311,17536,983,3503,274,34,95,430
